iter	RMSE
0	2860.72837
1	2641.838632
2	2450.22321
3	2282.623728
4	2137.019506
5	2010.298492
6	1900.698737
7	1803.959879
8	1719.959539
9	1647.21121
10	1584.994641
11	1528.087792
12	1477.592004
13	1432.684533
14	1396.736457
15	1364.737922
16	1337.8143
17	1314.279899
18	1295.027891
19	1276.72258
20	1261.447882
21	1247.244929
22	1235.601362
23	1225.94252
24	1217.700106
25	1210.422607
26	1204.399435
27	1198.653763
28	1192.932581
29	1188.273555
30	1184.237673
31	1180.455946
32	1177.106472
33	1173.966625
34	1171.056465
35	1168.016751
36	1165.701664
37	1162.882967
38	1161.246316
39	1159.372743
40	1157.864302
41	1156.308103
42	1154.90479
43	1152.812453
44	1151.675887
45	1149.269053
46	1147.258497
47	1145.639954
48	1144.603348
49	1143.305073
50	1142.621951
51	1141.485876
52	1140.715903
53	1139.029109
54	1138.18624
55	1137.004006
56	1136.005166
57	1134.898634
58	1134.14647
59	1133.280438
60	1132.379958
61	1131.767939
62	1129.971347
63	1129.404646
64	1128.996697
65	1128.674293
66	1127.565904
67	1126.85577
68	1126.237037
69	1125.503598
70	1124.746914
71	1124.403337
72	1123.722559
73	1123.313801
74	1122.490121
75	1121.91455
76	1121.175374
77	1120.609375
78	1120.293135
79	1119.398783
80	1118.349699
81	1117.401576
82	1116.847067
83	1116.444214
84	1115.982984
85	1115.597064
86	1114.904419
87	1114.643116
88	1114.224869
89	1113.784009
90	1113.483736
91	1113.10961
92	1112.563286
93	1112.218514
94	1111.465886
95	1110.664586
96	1110.299939
97	1109.864953
98	1109.474619
99	1109.345339
100	1109.121068
101	1108.74455
102	1108.613454
103	1107.939718
104	1107.770469
105	1107.444388
106	1106.916091
107	1105.980504
108	1105.333142
109	1104.3141
110	1103.699822
111	1103.320054
112	1102.880151
113	1102.473641
114	1102.201272
115	1101.427777
116	1100.993313
117	1100.02836
118	1099.406268
119	1098.506015
120	1098.000866
121	1097.591564
122	1097.204744
123	1096.705888
124	1096.251925
125	1095.939599
126	1094.914018
127	1094.573738
128	1094.34544
129	1094.180845
130	1093.729718
131	1093.014969
132	1092.70383
133	1092.406431
134	1092.225666
135	1091.857846
136	1091.550367
137	1091.265779
138	1090.559179
139	1090.202103
140	1089.929307
141	1089.715996
142	1089.341586
143	1088.947552
144	1088.459366
145	1088.100718
146	1087.795888
147	1087.504573
148	1087.221682
149	1086.925489
150	1086.371945
151	1086.138872
152	1085.931867
153	1085.61454
154	1085.268566
155	1084.896928
156	1084.413625
157	1084.152635
158	1083.978049
159	1083.599209
160	1083.268666
161	1082.994663
162	1082.430622
163	1082.060363
164	1081.940315
165	1081.459024
166	1081.252898
167	1080.927366
168	1080.413477
169	1080.07127
170	1079.634001
171	1079.386143
172	1079.185849
173	1078.853378
174	1078.606971
175	1078.420377
176	1078.207604
177	1077.870731
178	1077.574132
179	1077.295082
180	1077.065292
181	1076.824298
182	1076.606194
183	1076.313241
184	1076.101148
185	1075.977653
186	1075.738527
187	1075.545829
188	1075.396702
189	1075.223889
190	1075.055489
191	1074.856316
192	1074.573334
193	1074.294572
194	1074.094278
195	1073.860627
196	1073.389089
197	1073.117559
198	1072.880591
199	1072.604184
200	1072.377603
201	1072.236298
202	1072.017841
203	1071.843738
204	1071.678322
205	1071.515583
206	1071.308118
207	1070.752054
208	1070.528968
209	1070.233578
210	1069.9533
211	1069.761439
212	1069.568816
213	1069.414883
214	1069.158581
215	1068.994543
216	1068.894366
217	1068.577893
218	1068.258469
219	1067.98382
220	1067.813192
221	1067.460207
222	1067.26418
223	1067.020705
224	1066.887879
225	1066.742213
226	1066.516832
227	1066.270406
228	1066.07823
229	1065.893392
230	1065.73806
231	1065.557362
232	1065.398753
233	1064.973417
234	1064.722496
235	1064.450857
236	1064.244559
237	1064.07108
238	1063.890092
239	1063.682631
240	1063.481465
241	1063.394469
242	1063.234151
243	1062.994398
244	1062.836502
245	1062.715031
246	1062.577251
247	1062.312614
248	1062.201616
249	1062.049612
250	1061.772281
251	1061.440704
252	1061.190985
253	1060.979649
254	1060.767541
255	1060.564177
256	1060.403852
257	1060.118062
258	1059.985337
259	1059.851371
260	1059.649659
261	1059.518625
262	1059.391037
263	1059.037045
264	1058.868024
265	1058.586386
266	1058.51775
267	1058.107546
268	1057.945825
269	1057.633545
270	1057.499102
271	1057.33472
272	1057.044704
273	1056.959991
274	1056.834027
275	1056.493415
276	1056.334449
277	1056.129478
278	1056.010497
279	1055.895813
280	1055.77676
281	1055.681345
282	1055.549476
283	1055.338673
284	1055.106686
285	1054.872143
286	1054.679724
287	1054.452726
288	1054.258834
289	1054.112358
290	1053.95991
291	1053.792765
292	1053.678482
293	1053.384843
294	1053.212872
295	1052.936691
296	1052.803758
297	1052.65142
298	1052.433113
299	1052.245916
300	1052.131215
301	1051.802969
302	1051.603621
303	1051.432549
304	1051.293136
305	1051.070583
306	1050.975853
307	1050.848029
308	1050.744447
309	1050.63501
310	1050.525049
311	1050.307569
312	1050.187612
313	1049.980351
314	1049.887931
315	1049.726378
316	1049.555289
317	1049.425111
318	1049.20826
319	1049.115966
320	1049.004475
321	1048.848477
322	1048.631412
323	1048.474363
324	1048.342566
325	1048.098509
326	1047.886537
327	1047.641296
328	1047.561518
329	1047.407031
330	1047.251235
331	1046.979305
332	1046.903932
333	1046.801931
334	1046.641344
335	1046.482163
336	1046.326332
337	1045.959983
338	1045.848047
339	1045.624029
340	1045.511427
341	1045.322397
342	1045.096223
343	1044.878257
344	1044.625455
345	1044.397735
346	1044.234732
347	1044.13608
348	1044.012399
349	1043.906711
350	1043.852499
351	1043.630106
352	1043.509157
353	1043.366282
354	1043.236897
355	1043.066687
356	1042.877773
357	1042.578207
358	1042.358192
359	1042.246545
360	1042.138022
361	1041.912509
362	1041.797365
363	1041.713191
364	1041.557006
365	1041.466714
366	1041.384333
367	1041.279184
368	1041.136158
369	1041.03031
370	1040.958998
371	1040.836694
372	1040.693988
373	1040.515433
374	1040.336874
375	1040.23141
376	1040.00933
377	1039.861318
378	1039.74593
379	1039.552089
380	1039.394892
381	1039.220801
382	1039.14495
383	1038.939738
384	1038.689223
385	1038.520711
386	1038.465688
387	1038.364956
388	1038.242285
389	1038.14577
390	1037.952602
391	1037.897313
392	1037.771323
393	1037.648448
394	1037.541368
395	1037.407511
396	1037.322779
397	1037.180014
398	1037.12016
399	1036.978487
400	1036.808375
401	1036.681711
402	1036.540113
403	1036.453814
404	1036.271012
405	1036.044763
406	1035.955192
407	1035.795776
408	1035.685304
409	1035.578776
410	1035.442202
411	1035.264531
412	1035.100124
413	1035.035252
414	1034.879133
415	1034.829699
416	1034.66836
417	1034.529617
418	1034.428601
419	1034.222723
420	1033.952982
421	1033.804414
422	1033.642938
423	1033.513409
424	1033.337538
425	1033.249424
426	1033.152914
427	1033.039258
428	1032.861789
429	1032.823168
430	1032.633216
431	1032.513727
432	1032.423248
433	1032.240689
434	1032.076616
435	1031.900891
436	1031.723893
437	1031.63686
438	1031.486555
439	1031.375243
440	1031.265875
441	1031.167363
442	1031.062206
443	1030.941879
444	1030.890223
445	1030.711329
446	1030.584155
447	1030.453377
448	1030.276467
449	1030.091953
450	1029.98996
451	1029.919564
452	1029.760283
453	1029.679892
454	1029.598727
455	1029.519679
456	1029.400979
457	1029.289075
458	1029.126453
459	1029.018061
460	1028.926089
461	1028.806408
462	1028.70518
463	1028.628018
464	1028.519735
465	1028.384434
466	1028.243611
467	1028.067369
468	1027.952733
469	1027.851272
470	1027.707678
471	1027.552049
472	1027.436537
473	1027.306386
474	1027.164392
475	1027.09381
476	1027.041333
477	1026.994024
478	1026.869446
479	1026.799284
480	1026.721658
481	1026.629373
482	1026.528675
483	1026.398424
484	1026.246074
485	1026.091468
486	1026.001437
487	1025.907626
488	1025.776086
489	1025.715864
490	1025.647277
491	1025.594868
492	1025.518334
493	1025.391958
494	1025.304969
495	1025.159648
496	1025.053389
497	1024.9742
498	1024.845089
499	1024.756646
500	1024.676841
501	1024.617626
502	1024.559157
503	1024.421155
504	1024.234361
505	1024.199616
506	1024.13952
507	1024.013359
508	1023.972038
509	1023.903999
510	1023.848222
511	1023.797007
512	1023.727123
513	1023.613794
514	1023.465097
515	1023.410438
516	1023.280798
517	1023.113592
518	1023.073815
519	1022.981934
520	1022.85826
521	1022.806319
522	1022.774226
523	1022.64973
524	1022.566513
525	1022.497126
526	1022.440491
527	1022.345745
528	1022.280185
529	1022.213944
530	1022.09833
531	1022.068297
532	1021.962116
533	1021.854582
534	1021.773251
535	1021.671473
536	1021.571572
537	1021.483918
538	1021.308039
539	1021.204837
540	1021.097248
541	1021.032846
542	1020.902748
543	1020.799442
544	1020.703947
545	1020.617552
546	1020.567001
547	1020.50414
548	1020.455438
549	1020.330909
550	1020.225862
551	1020.09277
552	1020.029697
553	1019.92052
554	1019.827214
555	1019.698978
556	1019.637852
557	1019.551569
558	1019.497938
559	1019.427915
560	1019.301365
561	1019.223665
562	1019.163574
563	1019.052641
564	1019.002002
565	1018.874068
566	1018.825419
567	1018.693295
568	1018.566032
569	1018.477478
570	1018.409983
571	1018.326178
572	1018.190939
573	1018.140826
574	1018.073655
575	1018.038684
576	1017.964517
577	1017.865374
578	1017.821729
579	1017.655867
580	1017.609602
581	1017.579844
582	1017.512853
583	1017.465569
584	1017.369755
585	1017.27457
586	1017.212725
587	1017.159005
588	1017.100274
589	1016.955262
590	1016.857336
591	1016.824858
592	1016.770997
593	1016.641138
594	1016.600318
595	1016.535141
596	1016.440296
597	1016.337714
598	1016.217922
599	1016.131771
600	1016.073765
601	1016.022639
602	1015.878232
603	1015.812347
604	1015.713523
605	1015.625826
606	1015.540183
607	1015.475726
608	1015.34923
609	1015.217633
610	1015.12533
611	1015.038375
612	1014.945513
613	1014.873132
614	1014.818527
615	1014.766482
616	1014.728215
617	1014.60683
618	1014.546742
619	1014.484737
620	1014.424629
621	1014.257526
622	1014.156091
623	1014.048001
624	1013.983853
625	1013.969642
626	1013.909967
627	1013.8388
628	1013.776621
629	1013.691544
630	1013.602916
631	1013.536729
632	1013.464866
633	1013.410423
634	1013.322972
635	1013.229283
636	1013.178629
637	1013.128075
638	1013.064684
639	1012.97407
640	1012.87437
641	1012.772616
642	1012.736728
643	1012.702729
644	1012.603021
645	1012.526658
646	1012.456972
647	1012.385924
648	1012.312209
649	1012.214953
650	1012.149627
651	1012.103841
652	1012.078677
653	1012.038377
654	1012.000524
655	1011.910559
656	1011.805035
657	1011.691598
658	1011.585823
659	1011.437385
660	1011.335124
661	1011.264376
662	1011.146943
663	1011.07044
664	1010.952181
665	1010.92391
666	1010.785494
667	1010.686898
668	1010.590762
669	1010.547222
670	1010.462579
671	1010.41949
672	1010.310031
673	1010.261012
674	1010.211471
675	1010.153015
676	1010.097465
677	1010.035945
678	1009.982811
679	1009.876185
680	1009.776579
681	1009.710587
682	1009.629245
683	1009.592773
684	1009.544064
685	1009.498766
686	1009.461795
687	1009.407933
688	1009.340248
689	1009.27781
690	1009.211504
691	1009.163571
692	1009.105622
693	1009.045854
694	1008.994039
695	1008.93464
696	1008.907765
697	1008.843643
698	1008.795003
699	1008.71883
700	1008.619905
701	1008.512835
702	1008.430327
703	1008.379419
704	1008.303318
705	1008.205448
706	1008.144457
707	1008.129629
708	1008.094028
709	1007.959858
710	1007.927787
711	1007.895827
712	1007.837042
713	1007.716239
714	1007.619035
715	1007.528222
716	1007.506926
717	1007.489862
718	1007.477911
719	1007.430841
720	1007.391076
721	1007.3406
722	1007.283164
723	1007.232962
724	1007.203127
725	1007.182768
726	1007.162861
727	1007.121575
728	1007.031481
729	1006.934921
730	1006.828036
731	1006.745347
732	1006.657277
733	1006.608928
734	1006.487605
735	1006.404289
736	1006.377571
737	1006.345685
738	1006.247141
739	1006.203056
740	1006.147439
741	1006.108458
742	1006.009256
743	1005.960781
744	1005.879704
745	1005.808694
746	1005.779852
747	1005.754335
748	1005.708713
749	1005.655788
750	1005.586045
751	1005.531696
752	1005.49456
753	1005.444805
754	1005.395788
755	1005.245966
756	1005.223753
757	1005.164585
758	1005.079103
759	1005.060104
760	1005.007895
761	1004.931811
762	1004.857776
763	1004.820919
764	1004.799707
765	1004.72598
