iter	Passed	Remaining
0	17	17307
1	33	16662
2	50	16756
3	67	16871
4	84	16825
5	100	16684
6	117	16633
7	133	16561
8	148	16382
9	164	16334
10	180	16215
11	196	16163
12	212	16155
13	229	16150
14	244	16068
15	261	16063
16	276	16006
17	293	16005
18	309	15980
19	325	15972
20	342	15952
21	359	15974
22	376	15978
23	391	15930
24	408	15914
25	424	15891
26	439	15848
27	455	15812
28	469	15734
29	484	15670
30	500	15652
31	517	15659
32	533	15637
33	550	15653
34	567	15634
35	583	15633
36	600	15632
37	617	15625
38	633	15605
39	649	15591
40	665	15573
41	681	15547
42	697	15530
43	712	15486
44	728	15469
45	743	15414
46	759	15402
47	774	15360
48	792	15388
49	811	15411
50	830	15455
51	848	15460
52	866	15476
53	884	15488
54	903	15518
55	920	15522
56	937	15517
57	953	15489
58	969	15455
59	986	15452
60	1001	15423
61	1017	15391
62	1033	15376
63	1050	15356
64	1065	15325
65	1081	15305
66	1096	15274
67	1112	15253
68	1129	15239
69	1145	15213
70	1159	15177
71	1175	15145
72	1189	15098
73	1204	15068
74	1217	15017
75	1232	14985
76	1249	14973
77	1262	14926
78	1277	14897
79	1292	14863
80	1307	14837
81	1321	14796
82	1337	14776
83	1354	14766
84	1369	14746
85	1385	14728
86	1400	14693
87	1415	14672
88	1431	14653
89	1445	14616
90	1461	14597
91	1477	14578
92	1493	14563
93	1509	14546
94	1527	14552
95	1544	14544
96	1563	14553
97	1581	14551
98	1599	14560
99	1616	14547
100	1633	14537
101	1648	14509
102	1663	14490
103	1679	14473
104	1696	14464
105	1713	14449
106	1729	14433
107	1746	14422
108	1762	14410
109	1778	14391
110	1793	14362
111	1810	14351
112	1825	14330
113	1842	14319
114	1858	14305
115	1874	14281
116	1888	14251
117	1903	14230
118	1918	14205
119	1935	14190
120	1951	14173
121	1967	14158
122	1982	14138
123	1997	14114
124	2015	14109
125	2032	14100
126	2050	14092
127	2064	14061
128	2080	14044
129	2094	14018
130	2108	13988
131	2124	13972
132	2140	13951
133	2154	13927
134	2169	13902
135	2184	13880
136	2201	13865
137	2218	13859
138	2234	13840
139	2251	13830
140	2268	13817
141	2282	13792
142	2299	13782
143	2315	13762
144	2331	13748
145	2347	13731
146	2363	13717
147	2378	13692
148	2394	13677
149	2412	13671
150	2428	13654
151	2445	13640
152	2460	13620
153	2476	13602
154	2490	13579
155	2507	13566
156	2524	13557
157	2544	13559
158	2562	13553
159	2579	13544
160	2597	13535
161	2614	13524
162	2631	13514
163	2647	13498
164	2663	13477
165	2680	13464
166	2696	13450
167	2712	13434
168	2728	13415
169	2743	13396
170	2760	13383
171	2777	13370
172	2795	13361
173	2812	13349
174	2828	13336
175	2845	13322
176	2863	13315
177	2881	13306
178	2897	13290
179	2913	13271
180	2929	13255
181	2945	13238
182	2962	13225
183	2979	13213
184	2995	13198
185	3009	13171
186	3025	13154
187	3042	13142
188	3059	13129
189	3075	13113
190	3091	13092
191	3106	13073
192	3120	13048
193	3136	13032
194	3152	13015
195	3169	13003
196	3186	12987
197	3203	12974
198	3220	12961
199	3235	12942
200	3252	12930
201	3269	12915
202	3284	12896
203	3302	12885
204	3317	12865
205	3333	12847
206	3350	12834
207	3365	12816
208	3381	12798
209	3397	12781
210	3413	12764
211	3428	12745
212	3444	12728
213	3459	12705
214	3475	12689
215	3491	12673
216	3508	12659
217	3525	12647
218	3543	12635
219	3560	12625
220	3578	12612
221	3596	12602
222	3613	12589
223	3629	12571
224	3643	12551
225	3660	12535
226	3676	12521
227	3693	12506
228	3709	12487
229	3723	12467
230	3739	12450
231	3756	12435
232	3776	12430
233	3792	12414
234	3808	12398
235	3826	12386
236	3842	12371
237	3860	12360
238	3877	12347
239	3893	12330
240	3909	12314
241	3925	12294
242	3940	12276
243	3957	12260
244	3974	12247
245	3989	12228
246	4006	12213
247	4022	12196
248	4038	12180
249	4054	12163
250	4072	12151
251	4088	12134
252	4103	12114
253	4120	12101
254	4135	12083
255	4151	12064
256	4167	12047
257	4184	12034
258	4201	12019
259	4217	12002
260	4231	11982
261	4247	11965
262	4262	11943
263	4277	11926
264	4293	11907
265	4309	11891
266	4324	11873
267	4341	11858
268	4357	11841
269	4374	11826
270	4389	11809
271	4405	11791
272	4420	11771
273	4435	11753
274	4450	11733
275	4467	11719
276	4484	11705
277	4501	11692
278	4519	11679
279	4535	11662
280	4551	11646
281	4568	11632
282	4585	11618
283	4601	11601
284	4619	11588
285	4634	11571
286	4651	11555
287	4668	11542
288	4684	11525
289	4701	11511
290	4716	11492
291	4732	11474
292	4749	11459
293	4766	11445
294	4781	11427
295	4798	11413
296	4815	11397
297	4832	11383
298	4847	11364
299	4864	11351
300	4881	11337
301	4899	11323
302	4915	11306
303	4930	11288
304	4948	11277
305	4966	11264
306	4981	11244
307	4998	11229
308	5014	11214
309	5031	11198
310	5047	11182
311	5064	11167
312	5079	11150
313	5095	11132
314	5112	11116
315	5129	11102
316	5144	11084
317	5159	11066
318	5176	11050
319	5193	11035
320	5208	11018
321	5224	11000
322	5240	10984
323	5257	10968
324	5273	10953
325	5290	10937
326	5306	10921
327	5322	10905
328	5339	10889
329	5355	10872
330	5371	10856
331	5387	10839
332	5403	10822
333	5418	10804
334	5433	10785
335	5448	10768
336	5465	10751
337	5481	10735
338	5497	10719
339	5517	10709
340	5535	10698
341	5553	10684
342	5571	10670
343	5588	10656
344	5605	10642
345	5622	10628
346	5639	10612
347	5656	10598
348	5674	10585
349	5690	10567
350	5707	10552
351	5723	10536
352	5742	10524
